[W socket.cpp:634] The server socket on [ip-172-31-85-21.ec2.internal]:1234 is not yet listening (generic error: 111 - Connection refused).
[W socket.cpp:634] The server socket on [ip-172-31-85-21.ec2.internal]:1234 is not yet listening (generic error: 111 - Connection refused).
[W socket.cpp:634] The server socket on [ip-172-31-85-21.ec2.internal]:1234 is not yet listening (generic error: 111 - Connection refused).
[W socket.cpp:634] The server socket on [ip-172-31-85-21.ec2.internal]:1234 is not yet listening (generic error: 111 - Connection refused).
[W socket.cpp:634] The server socket on [ip-172-31-85-21.ec2.internal]:1234 is not yet listening (generic error: 111 - Connection refused).
[W socket.cpp:634] The server socket on [ip-172-31-85-21.ec2.internal]:1234 is not yet listening (generic error: 111 - Connection refused).
Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=1, max_workers=4, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=0, max_workers=4, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Using seed: 0
Using seed: 0
Using GPU: False
Using GPU: False
Rank: 3. World Size: 4
Rank: 2. World Size: 4
Dataset cifar10 loaded
/usr/local/lib/python3.6/dist-packages/torch/utils/data/dataloader.py:490: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  cpuset_checked))
Dataset cifar10 loaded
/usr/local/lib/python3.6/dist-packages/torch/utils/data/dataloader.py:490: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  cpuset_checked))
Rank: 3, Epoch: 0, Training ...
Rank: 2, Epoch: 0, Training ...
[epoch: 0/1][iteration: 0/782][rank: 2] Loss_D: 1.5506, Loss_G: 4.8522, D(x): 0.5634, D(G(z)): 0.6129 / 0.0082, iteration time: 1.7928s
[epoch: 0/1][iteration: 0/782][rank: 3] Loss_D: 1.5189, Loss_G: 4.8522, D(x): 0.5812, D(G(z)): 0.6129 / 0.0082, iteration time: 1.8149s
[epoch: 0/1][iteration: 1/782][rank: 2] Loss_D: 0.8278, Loss_G: 3.5622, D(x): 0.5831, D(G(z)): 0.2365 / 0.0289, iteration time: 1.4381s
[epoch: 0/1][iteration: 1/782][rank: 3] Loss_D: 0.8224, Loss_G: 3.5622, D(x): 0.5938, D(G(z)): 0.2365 / 0.0289, iteration time: 1.4636s
[epoch: 0/1][iteration: 2/782][rank: 2] Loss_D: 0.9181, Loss_G: 4.3594, D(x): 0.6720, D(G(z)): 0.3488 / 0.0133, iteration time: 1.4087s
[epoch: 0/1][iteration: 2/782][rank: 3] Loss_D: 0.6846, Loss_G: 4.3594, D(x): 0.7966, D(G(z)): 0.3488 / 0.0133, iteration time: 1.4081s
[epoch: 0/1][iteration: 3/782][rank: 2] Loss_D: 0.5522, Loss_G: 4.9606, D(x): 0.8198, D(G(z)): 0.2768 / 0.0073, iteration time: 1.4300s
[epoch: 0/1][iteration: 3/782][rank: 3] Loss_D: 0.6522, Loss_G: 4.9606, D(x): 0.7506, D(G(z)): 0.2768 / 0.0073, iteration time: 1.4524s
[epoch: 0/1][iteration: 4/782][rank: 2] Loss_D: 0.4448, Loss_G: 5.2092, D(x): 0.8228, D(G(z)): 0.2109 / 0.0056, iteration time: 1.4504s
[epoch: 0/1][iteration: 4/782][rank: 3] Loss_D: 0.5146, Loss_G: 5.2092, D(x): 0.7746, D(G(z)): 0.2109 / 0.0056, iteration time: 1.4472s
[epoch: 0/1][iteration: 5/782][rank: 2] Loss_D: 0.4770, Loss_G: 6.0126, D(x): 0.8319, D(G(z)): 0.2360 / 0.0025, iteration time: 1.4255s
[epoch: 0/1][iteration: 5/782][rank: 3] Loss_D: 0.6298, Loss_G: 6.0126, D(x): 0.7434, D(G(z)): 0.2360 / 0.0025, iteration time: 1.4149s
[epoch: 0/1][iteration: 6/782][rank: 2] Loss_D: 0.5564, Loss_G: 6.5686, D(x): 0.7854, D(G(z)): 0.2197 / 0.0015, iteration time: 1.4372s
